,qtd_filhos,idade,tempo_emprego,possui_celular,possui_fone_comercial,possui_fone,possui_email,qt_pessoas_residencia,mau,sexo_M,posse_de_veiculo_Y,posse_de_imovel_Y,tipo_renda_Pensioner,tipo_renda_State servant,tipo_renda_Student,tipo_renda_Working,educacao_Higher education,educacao_Incomplete higher,educacao_Lower secondary,educacao_Secondary / secondary special,estado_civil_Married,estado_civil_Separated,estado_civil_Single / not married,estado_civil_Widow,tipo_residencia_House / apartment,tipo_residencia_Municipal apartment,tipo_residencia_Office apartment,tipo_residencia_Rented apartment,tipo_residencia_With parents
0,0,58.832876712328776,3.106849315068493,1,0,0,0,2,False,1,1,1,0,0,0,1,0,0,0,1,1,0,0,0,1,0,0,0,0
1,0,52.35616438356164,8.35890410958904,1,0,1,1,1,False,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0
3,0,46.22465753424658,2.106849315068493,1,1,1,1,2,False,1,1,1,0,0,0,1,1,0,0,0,1,0,0,0,1,0,0,0,0
4,0,29.23013698630137,3.0219178082191784,1,0,0,0,2,False,0,1,0,0,0,0,1,0,1,0,0,1,0,0,0,1,0,0,0,0
6,0,27.482191780821925,4.024657534246575,1,0,1,0,2,False,0,0,1,0,0,0,1,0,0,0,1,1,0,0,0,1,0,0,0,0
8,1,30.049315068493147,4.438356164383562,1,0,0,0,2,False,0,0,1,0,0,0,1,0,0,0,1,0,0,1,0,1,0,0,0,0
10,3,34.76438356164383,3.186301369863014,1,0,0,0,5,False,1,1,1,0,0,0,1,0,0,0,1,1,0,0,0,1,0,0,0,0
11,1,32.44383561643836,5.523287671232877,1,0,0,0,3,False,1,0,1,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0
14,0,56.16986301369864,12.191780821917806,1,0,1,0,2,False,1,1,1,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0
19,2,43.18082191780822,8.693150684931506,1,0,0,0,4,False,0,1,1,0,0,0,1,0,0,0,1,1,0,0,0,1,0,0,0,0
22,1,44.41643835616439,19.44931506849315,1,0,0,0,3,False,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0
23,2,34.0027397260274,4.857534246575343,1,0,0,1,4,False,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0
28,0,55.3041095890411,-1000.6657534246576,1,0,0,0,1,False,0,0,1,1,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0
29,0,46.61917808219178,3.690410958904109,1,0,0,0,1,False,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0
31,0,42.51780821917808,8.860273972602737,1,0,0,0,1,False,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0
45,0,37.375342465753434,13.276712328767125,1,0,1,0,2,False,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0
48,1,28.276712328767122,7.693150684931508,1,0,0,0,3,False,1,0,1,0,0,0,1,0,0,0,1,1,0,0,0,1,0,0,0,0
49,0,48.72602739726028,4.69041095890411,1,0,0,0,2,False,0,1,1,0,0,0,1,0,0,0,1,1,0,0,0,1,0,0,0,0
54,0,43.909589041095884,2.4356164383561643,1,0,1,0,2,False,1,0,1,0,0,0,1,0,0,0,1,1,0,0,0,1,0,0,0,0
55,0,61.14794520547945,-1000.6657534246576,1,0,0,0,2,False,0,0,1,1,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0
60,0,45.43013698630136,3.271232876712329,1,1,1,0,1,False,0,1,1,0,0,0,1,0,0,0,1,0,1,0,0,1,0,0,0,0
62,0,51.85205479452055,17.194520547945206,1,1,1,0,2,False,1,0,1,0,0,0,1,0,0,0,1,1,0,0,0,1,0,0,0,0
69,2,42.31232876712329,8.526027397260274,1,0,0,1,4,False,0,0,1,0,1,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0
76,0,54.41369863013698,29.70684931506849,1,0,0,1,2,False,0,1,1,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0
77,0,51.183561643835624,-1000.6657534246576,1,0,0,0,2,False,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0
78,2,30.128767123287673,6.27123287671233,1,0,0,1,4,False,0,0,1,0,0,0,1,1,0,0,0,1,0,0,0,1,0,0,0,0
83,0,24.276712328767122,2.4356164383561643,1,1,0,0,1,False,1,0,1,0,0,0,1,0,0,0,1,0,0,1,0,1,0,0,0,0
84,0,28.63013698630137,5.69041095890411,1,0,0,0,2,False,1,1,1,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0
87,0,28.12054794520548,8.693150684931506,1,0,1,1,2,False,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0
88,1,48.56438356164385,1.9397260273972603,1,0,1,1,3,False,0,1,1,0,1,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0
89,1,38.69041095890411,3.5232876712328767,1,0,0,0,3,False,1,0,1,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,1
90,0,27.572602739726022,8.693150684931506,1,0,0,1,2,False,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0
91,0,56.249315068493146,15.698630136986301,1,0,0,0,2,False,1,0,1,0,0,0,1,0,0,0,1,1,0,0,0,1,0,0,0,0
92,2,40.35616438356164,8.189041095890412,1,0,0,0,4,False,1,1,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0
94,1,37.47671232876712,12.03013698630137,1,0,0,1,3,False,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0
95,0,36.35890410958904,1.5205479452054795,1,0,0,0,1,False,0,0,1,0,0,0,1,1,0,0,0,0,1,0,0,1,0,0,0,0
96,2,35.23013698630137,11.112328767123287,1,0,1,0,4,False,1,1,1,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,1
98,0,43.115068493150694,1.1835616438356165,1,0,0,0,1,False,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1
107,0,59.37808219178083,-1000.6657534246576,1,0,0,0,1,False,1,0,1,1,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0
108,0,26.457534246575346,4.273972602739726,1,1,1,0,2,False,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0
109,0,43.35616438356164,10.191780821917806,1,1,1,0,2,False,1,1,0,0,0,0,1,1,0,0,0,1,0,0,0,1,0,0,0,0
111,0,53.630136986301366,7.947945205479453,1,0,0,0,2,False,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,1,0,0,0,0
119,0,35.38356164383561,8.695890410958905,1,0,1,0,2,False,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,1,0,0,0,0
